Name,Quantity,Component
"U2",1," Arduino Uno R3"
"D1",1,"Red LED"
"D2",1,"Green LED"
"D3",1,"Yellow LED"
"PIEZO2",1," Piezo"
"R4, R5, R6, R7, R8",5,"300 Ω Resistor"
"PIR1",1,"-103.88367802716357 , -454.83020593187496 , -423.96931306735087  PIR Sensor"
"TILT1",1," Tilt Sensor"
"U1",1," Temperature Sensor [TMP36]"
"R1, R2, R3",3,"1 kΩ Resistor"
"D4",1," LED RGB"
